name,iata_code,icao_code
COBREX Trans,null,CBX
Cochise County Sheriff's Office,null,GRM
Coin Aviation,null,PCI
Coinspectra Aviacion,null,COI
Colaereos,null,OLR
Colemill Enterprises,null,CLE
Colombe Airline,null,null
Colorful GuiZhou Airlines,GY,CGZ
Colorful Yunnan General Aviation,null,CYN
Colorful Yunnan Airlines,ZO,null
Colt International,null,CCX
Colt Transportes Aereos,null,XCA
Coltishall FTU,null,COH
Columbia Helicopters,null,WCO
Air Columbus,null,CBS
Columbus Air Transport,null,KLR
Colvin Aviation,null,GHP
COMAC Shanghai Aircraft Customer Service,null,CCS
Comair Flight Services,null,AQL
Comair Flight Services - CFS,null,GCM
Comed Group,null,CDE
Comercial Aerea,null,CRS
Comercial de Aviacion (Comeravia),null,CVV
Comercializacion de Aviacion Ejecutiva,null,CVJ
Comet Airlines,null,CMG
Comlux Aruba,CS,CXB
Comlux KZ,null,KAZ
Comlux Malta,null,MLM
Comlux San Marino,null,SMC
Commair Aviation,null,CMH
Commandair,null,WPC
Commandement du Transport Aerien Militaire Francais,null,CTM
Commander Mexicana,null,CRM
Commerce Bank,null,CME
Commercial Aviation Services,7U,null
Common Sky A & N Luftfahrt,null,AUN
Commonwealth Jet Service,null,CJS
Community Airlines,null,CML
CommuteAir,C5,UCA
Compagnia Generale Ripreseaeree,null,CGR
Compagnie Africaine d'Aviation,BU,DBP
Compagnie Mauritanienne Des Transports,null,CPM
Compagnie Nationale Naganagani,null,BFN
Compania Aerea de Servicios Tur Air,null,TUU
Compania Aerotecnicas Fotograficas,null,ATF
Compania de Servicios Aereos (SAESA),null,SSS
Compania de Servicios Aereos Tavisa,null,TAV
Compania Ejecutiva,null,EJV
Compania Lineas Aereas Nacionales turisticas (LANTUR),null,LNR
Compania Mexicana de Aeroplanos,null,MDR
Compania Transportes Aereos Del Sur,null,HSS
Compass Air Cargo,HQ,ADZ
Compuflight Operations Service,null,XCO
Compuserve Incorporated,null,XCS
Comunicacion Global Objetivo,null,OBJ
Conair,null,FGD
Air Condal,null,JID
Condor Aero Services,null,CNR
Condor,DE,CFG
Congo Airways,8Z,CGA
Congo Falcon,null,AAT
Coningsby FTU,null,CBY
Connect Air,null,CCT
Air Connect,KS*,KON
Connectair Charters,null,BSN
ConocoPhillips,null,CON
Conquest Air,C4*,QAI
Conquest Airlines,null,CAC
Conquest Air Cargo,C4,QAI
Conroe Aviation Services,null,CXO
Consorcio Aereo de Xalapa,null,CAX
Consorcio Helitec,null,VCH
Constanta Airline,null,UZA
Air Consul,null,CNU
Air Consul,null,RCS
Aviation Consultancy Office,null,QEA
Aviation Consultants,null,CVD
Contact Air,null,CAN
Airline Container Leasing,JG*,null
Contel ASC,null,XCL
Continental Wings - Comoros Airlines,null,CWK
Contour Airlines,LF,VTE
Convers Avia Airline,null,CVS
Conviasa,V0,VCV
Cook Inlet Aviation,null,CKA
Cooper Aerial Surveys,null,SVY
Copa Airlines,CM,CMP
Copenhagen Airtaxi,null,CAT
Copper State Air Service,null,COP
Copterline,null,CPE
Copterplus Finland,null,CPP
Coptrade Air Transport,null,CCW
Coral Jet,null,null
Coral Jet,null,COJ
Coral Seas Express,null,CSE
Corendon Dutch Airlines,CD,CND
Corendon Airlines Europe,XR,CXI
Corendon Airlines,XC,CAI
Corporacion Aerea Cencor SA de CV,null,CNC
Corporacion Aeroangeles,null,CPG
Corporacion Centroamericana de Servicios Ge Navegacion Aerea (COCESNA),null,YGD
Corporacion Ejecutiva de Transporte Aereo,null,CTC
Corporacion Paraguaya de Aeronautica,null,CGY
Corporacion Paraguayana de Aeronautica,null,PGY
Corporate Aircraft Company,null,CPO
Corporate Air,null,CPT
Air Corporate,null,CPV
Corporate Eagle Management Services,null,CBH
Corporate Air Fleet,null,CTX
Corporate Flight Services,null,BLQ
Corporate Flight International,null,VHT
Corporate Jet Management,null,CJM
Corporate Jet,null,PHJ
Corporate Jets,null,CJI
Corporate Air,null,MLN
Corporate Aviation Services,null,CKE
Corporate Air Travel,null,NJZ
CorsAir,SS,CRL
Air Corsica,XK,CCM
Cosmo Airlines,null,KOM
Cosmopolitan Air Operations,null,CER
Costa Airlines,null,COT
Costa Rica Green Airways,null,CRG
Costa Rica GREEN AIRWAYS,GW,null
Air Cote d Ivoire,HF,VRE
Cougar Helicopters,null,CHI
Coulson Aviation,null,CUL
Courier Services,null,CSD
Course-S,null,KRS
Court Helicopters,null,CUT
Coval Air,null,CVL
Cove Aviation,null,COO
Cowan Group,null,null
Cowi,null,COW
Cox Aviacion,null,COX
Coyne Airways,7C*,COY
CPI Aviation,null,TSJ
Craft Avia Center Sapi de C.V.,null,CGL
Cranfield Flight Training,null,MGB
Cranfield Helicopters,null,CHL
Cranfield University,null,CFD
Cranwell FTU,null,CWL
Air Creebec,YN,CRQ
Crelam,null,ELM
Cretan Wings,null,CWS
CRI Helicopters Mexico,null,CRH
Croatia Airlines,OU,CTN
Croatian Air Force,null,HRZ
Croix Rouge Francais,null,CRF
Cronos Airlines Benin,C9,CKL
Cronos Airlines,C8*,CRA
Cross Aviation,null,CRX
Crow Executive Air,null,CWX
Crown Air,null,CRI
Crown Airways,null,CRO
Crown Airlines,FQ,CWN
Crown Airlines,null,null
Crown Air,null,OWR
Crown Air Systems,null,CKR
Crownair,null,CRW
Air Cruzal,null,CRJ
Cryderman Air Service,null,CTY
Crystal Air,null,CYT
Crystal Thai Airlines,null,KPS
CSA Air,null,IRO
CSI Aviation,null,CSI
CSM Aviation,null,TOG
CTK Network Aviation,null,CTQ
CTR Atmospherica Aviation,null,AAN
CTW Consulting,1W,null
Cubana,CU,CUB
Cuerpo Nacional de Policia,null,null
Cuerpo Nacional de Policia,null,DGP
Cumberland Airways,null,CBL
Custom Jet Charters,null,CJE
Cutter Aviation,null,CTF
Cygnus Air,null,RGN
Cyprair Tours,null,CYC
Cypress Airlines,null,CYS
Cyprus Airways,CY,CYP
Czech Air Force,null,CEF
Czech Government Flying Service,null,CIE
Czech Air Handling,null,AHD
Czech Airlines,OK,CSA
D & D Aviaion,null,DDA
D & K Aviation,null,DNK
Daallo Airlines,D3,DAO
Daallo Airlines (Somalia),D9,DMQ
Air Dabia,null,DBG
DAC Aviation,JX,null
Daimler-Chrysler,null,DCX
Daka,null,DKA
Dala Air,null,DKZ
Dala Air Services,null,DLR
Dalian Airlines,null,CCD
Damascene Airlines,null,TYL
Dan Air,DN*,JOC
Dana Airlines,9J,DAN
Dana Executive Jets,null,DEJ
Danbury Airways,null,DSA
Danish Army,null,DAR
Danish Air Force,null,DAF
Danish Navy,null,DNY
Danish Air Transport,DX*,DTR
Danube-Air,null,DBE
DAP Helicopteros,null,DHE
Darik Sky,null,DKR
Darwin travel Technology,N1,null
DAS Private Jets,null,DWW
DAS Nordisk,DS*,null
Dasab Airlines,null,DSQ
Dash Air Charter,null,DSH
Dash Aviation,null,GOB
Dashogouz International Airport,null,TUZ
Dasnair,null,DGX
Dassault Aviation,null,DAB
Dassault Falcon Jet,null,CVF
Dassault Falcon Service France,null,DSF
Dassault Falcon Service,null,DSO
DAT,R6,DNU
Air Data,null,AFS
DATA International Aviation,null,DTN
Aviation Data Systems,null,FBW
Date Transformation,null,XDT
Daya Aviation,null,DAY
DB Aviation,null,DBT
DC Aviation Al-Futtaim,null,DCF
DC Aviation,null,DCS
DC Aviation (Malta),null,DCW
DC Aviation San Marino,null,DCU
De Havilland Aircraft of Canada,null,DHC
DEA Aviation,null,WKT
Decatur Aviation,null,DAA
Air Deccan,null,DKN
Deccan Aviation (Lanka),null,DLK
Deer Air,null,DRA
Deer Horn Aviation,null,TXA
Deer Jet (Beijing),null,BDJ
Deer Jet Aviation,null,DJH
Deere And Company,null,JDC
Aviation Defense Service,null,DEF
Delaware Skyways,null,DWR
Delta Air Charter,null,SNO
Delta Air Lines,DL,DAL
Delta State University,null,DSU
Deltaq Engineering Aviation,null,KMB
Deltex,null,DTX
Denver Express,null,FEC
"Department Of The Army, Priority Air Transport",null,PAT
Department of National Defence,YF,null
"Dept. Of Aeronautics, State Of Nebraska",null,NEB
Deraya Air Taxi,null,DRY
Derazona Air Service,null,DRZ
Des R. Cargo Express,null,DRX
Desarrollo Milaz,null,MIZ
Desert Jet,null,DJR
Desert Wings Aviation,null,DWA
DesertAir Alaska,null,DAZ
Destiladora de Alcoholes Y Mieles,null,DEM
Deucalion Aviation,null,DLN
Deutsche Bahn,2A*,null
Devinaire,null,GSY
Dgo Jet,null,DGO
DHL Aero Expreso,D5*,DAE
DHL Air (Austria),Q7*,DHA
DHL Air,D0,DHK
DHL de Guatemala,L3*,JOS
DHL Aviation,null,DHV
DHL Aviation,ES*,DHX
DI Air,null,PBS
Dialogue-S-Aero,null,DAS
Diamond Aircraft UK Ltd.,null,null
Diamond Flight Academy Scandinavia,null,DMN
Diamond Sky,null,DMS
Didier Rousset Buy,null,DRB
Digital Equipment Corporation,null,DGT
Air Dilijans,RM,NGT
Dillon Aero,null,KTY
Dinglong Business Aviation,null,DLJ
Direct Aero Services,null,DSV
Direct Air,null,DIA
Direct Fly,null,DLF
Direct2,null,LND
Directflight,null,DCT
Discover Airlines,4Y,OCN
Discovery Jets,null,null
Dispatch Services,null,XDS
Distribuidora Y Comercializadora Jaz,null,DCO
Divi Divi Air,3R,DVR
Dixie Airways,null,DEE
Air Djibouti,DJ,DJI
Djibouti Airlines,null,DJB
Dlimi Airlines,null,null
DLR Deutsche Forschungsanstalt Fur Luft Und Raumfahfit,null,GPL
"DLR DEUTSCHES ZENTRUM FUER LUFT-UND  RAUMFAHRT E.V., BRAUNSCHWEIG",null,LFO
Dmcfly,null,DMF
Dniproaviaservis,null,DNS
Air Do,HD,ADO
Dokasch GmBH,3D*,null
Air Dolomiti,EN,DLA
Dolphin Express Airlines,null,IXX
Dolphin Air,null,FDN
Dome Petroleum,null,DPL
Domergue Aviation,null,DOM
Dominguez Toledo (Grupo Mayoral),null,MYO
Dominion Air,null,DAC
Domodedovo Airport Handling,null,DPH
Don Avia,null,DVB
Donair Flying Club,null,DON
Donghai Business Aviation,null,EPB
Donghai Airlines,DZ,EPA
Doniya Air Gambia,null,DNO
Dove Air,null,DOV
DragonFly Executive Air Charter,null,CBM
Air Dream College,null,ADM
Dream Flyers Training Center,null,DRF
Dreamline Aviation,null,DLX
Dreamshore Aero,null,DRS
DRF - Stiftung Luftrettung Gemeinnuetzige AG,null,AMB
Dronamics Europe Airlines,OY,DXE
Druk Air Corporation,KB,DRK
Drummond Island Air,null,DRE
DSWA,null,RSK
Dubai Air Wing / Royal Flight,null,DUB
Duchess Of Brittany,null,DBJ
Ducor World Airlines,null,DWA
Duke Energy Business Services,null,GGW
Dumont Aviation,null,SDU
Dunair,null,DUN
Duncan Aviation,null,PHD
Durango Jet,null,DJE
Dushanbe Air,null,DUA
Dvin-Avia,null,DVN
Dwyer Aircraft Sales,null,DFS
DXC Technology Services,1Y,null
Dynair Services,null,XDY
Dynamair Aviation,null,DNR
Dynamic Air,null,DYM
E-Cargo Airlines,RF*,ERF
E Aviation / EFD Eisele Flugdienst,null,EFD
E-Freight International,null,EFE
E H Darby Aviation,null,EHD
E.I.S. Aircraft,null,EIS
E+S Air,null,CAH
E-Aviation Swiss SAGL,null,LUG
EAA - Escola de Aviacao AeroCondor,null,EAD
EADS CASA,null,AED
Eagle Aero,null,ICR
Eagle Atlantic Airlines,null,EAB
Eagle Aviaton Services,null,ABU
Eagle Air,null,EGE
Eagle Air,null,EGU
Air Eagle,null,EPE
Eagle European,null,EEL
Eagle Express,null,EES
Eagle Aviation,null,GYP
Eagle Air Iceland (Flugfelagid Ernir),null,FEI
Eagle International,null,SEG
Eaglemed,null,EMD
Earth Airlines services,null,ERX
EAS Airlines,null,EXW
East Aero Service,null,BAC
East Afrian Airlines,null,UGX
East Coast Jets,null,ECJ
East Coast Airways,null,ECT
East Coast Flight Services,null,JTM
East Hampton Aire,null,EHA
East Kansas City Aviation,null,EKC
East Midlands Helicopters,null,CTK
East West Airlines,null,EWS
East-West Express,null,EWU
East Wing,null,EWZ
Eastar Jet,ZE,ESR
Eastern Airlines,2D,EAL
Eastern Australia Airlines,null,EAQ
Eastern Carolina Aviation,null,ECI
Eastern Airlines,null,EAL
Eastern Executive Air Charter,null,GNS
Eastern Air Express,null,BBQ
Eastern Metro Express,null,EME
Eastern Skyjets,null,ESJ
Eastern Airways,T3,EZE
Eastindo Services,null,ESD
Eastland Air Services,null,ISL
Eastunion,null,ETU
Easy Fly Express,8E*,EFX
Easy Link Aviation Services,null,FYE
Easycharter,RD*,LOL
Easyfly,VE,EFY
easyJet Europe,EC,EJU
Easyjet Switzerland,DS,EZS
easyJet,U2,EZY
EasySky,null,EKY
EATIS,null,SRK
EC Charter,null,EXC
ECAir,null,EQR
Echo Airlines,null,EBF
Eckles Aircraft,null,CMN
Éclair Aviation,null,ECC
Air Eclipse International,null,AOC
Eco Air,null,ECQ
Eco Airways,null,ECW
ECO Airlines,null,EKO
EcoJet,8J,ECO
Ecotour,null,ECD
Ecoturistica de Xcalak SA de CV,null,XCC
Ecuato - Guineana de Aviacion,null,EGA
Ecuatoguineana de Aviacion,null,ECV
Ecuatorial Cargo,null,EQC
Ecuavia Compania Limitada,null,ECU
Edacom,null,EDO
Edelweiss Air,WK,EDW
Eden,null,EDN
Edgartown Air,null,SLO
EDS Air Services,null,EDS
Efaos,null,EFS
EFS European Flight Service,null,EUW
EGT Jet,null,EGT
Egyptair Cargo,null,MSX
Egyptair,MS,MSR
Egyptian Aviation Academy,null,FMF
Egyptian Aviation,null,EJX
Egyptian Aviation Company,null,EMA
Egyptian Air Force,null,EGY
Egyptian Leisure Airlines,null,ELU
EI Air Exports,null,EIX
Ejecutivo Aereo de Mexico,null,EEM
EJME (Portugal) Aircraft Management,null,JME
EL AL,LY,ELY
El Caminante Taxi Aereo,null,CMX
El Quilada International Aviation,null,GLQ
El Sal Air,null,ELS
Elan Express,null,ELX
Elangeni,null,ELG
Elbee Airlines,null,LBE
Eldinder Airlines,null,DND
Electra Airways,null,EAF
Elemental Aviation,null,MWH
Eleron,WD*,VVA
Elevate Jet,null,LVT
Elifriulia,null,EFG
Elilombarda,null,EOA
Elin Group Ltd.,null,ELN
Eliossola,null,EOS
Elisra Airlines,null,RSA
Elit'Avia San Marino,null,EAO
Elit'Avia,null,EAV
Elitaliana,null,ELA
Elitavia Malta,MA*,EAU
Elite Air,null,ELZ
Elite Jet,null,ELJ
Elitellina,null,FGS
ELJ Aviation,null,GTF
Elliott Aviation,null,ELT
Elrom Aviation,null,ELR
Elthuraya Aviation,null,FIB
Eltsovka Airlines,null,ETS
Elvetia Aviation,null,ELV
Elysian Airlines,null,GIE
"EMA, Empresa de Melos Aereos",null,EML
Embassy Airlines,null,EAM
Embry-Riddle Aeronautical University,null,ERU
Emerald Airlines,EA,EAI
Emerald Jets,null,EFB
Emerald Airlines (UK),null,EAG
Air Emeralds,null,ERD
Emirates,EK,UAE
Emirates Flight Training Academy,null,EFC
Emper General Aviation,null,STJ
Emperor Aviation,null,EMM
Empire Airlines,EM,CFS
Empire Aviation Group,null,MJE
Empire Air Service,null,EMP
Empire Aviation Services,null,MPR
Empire Test Pilots School,null,ETP
Empresa Aviacion Interamericana,null,VNA
Empresa Brasileira de Aeronautica,null,EMB
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA - INFRAERO,null,XLT
Empresa de Transporte Aereocargo del Sur,null,ESU
Empresa Floridian,null,FLD
Empresa Nacional de Servicios Aereos,null,CNI
Empresa Publica de Transporte Aereo Militar,null,EPT
Empresas Especiales de Servicio En Tierra,null,XHA
Empyreal Jet,null,RLJ
ENAC,null,NAK
ENAV,null,ENF
Endeavor Air,9E,EDV
Endecots,null,ENC
Energia Creadora,null,ECR
Enerjet,null,ENE
Enex Aviation,null,ENX
Enrique Gleisner Vivanco,null,EGV
Ensenada Vuelos Especiales,null,ESE
Entebbe Airways,null,null
Enter Air,E4*,ENT
Entergy Services,null,ENS
Entreprises Speciales de Service Au Sol,null,XHA
Envirotainer AB,PC*,null
Envoy Air,MQ,ENY
Envuelo,null,NVO
Eolo Plus,null,EOP
EPAG - Groupie Air France,null,IAG
Epic Flight Academy/Epic Aviation,null,EPI
Epps Air Service,null,EPS
Epsilon Aviation,null,GRV
equ.air,HN,EQX
Equaflight Service,E7,EKA
Equaflight Service,null,EKA
Equajet,null,EKJ
Equatair Air Service,null,EQZ
Equatorial Airlines,null,EQT
Equinoccialair,null,null
Era Helicopters,null,ERH
Erie Airways,null,ERE
Esercito Italiano/Italian Army,null,IEI
ESN Jet Service,null,ECH
Esperia Aviation Services,null,ESP
Esso Resources Canada,null,ERC
Estafeta Carga Aerea,E7*,ESF
Estelar,ES,ETR
Estonian Airforce,null,EEF
"Estop Estudios de Fotografia, S.A.",null,EFO
ETF Airways,2F,EZZ
ETF Airways,LI*,EZZ
Ethiopian Airlines,ET,ETH
Ethiopian Mozambique Airlines,null,EMZ
Etihad,EY,ETD
Etihad Flight College,null,EYT
Etihad Flight College,null,YET
Euravia,null,EUI
Euro-Asia Air,null,EAK
Euro Continental Air,null,ECN
Euro Executive Jet,null,EEJ
Euro-Flite Oy,null,KOA
EURO LINK,null,EUL
Euro Mediterranean Airlines,null,EUD
euroairlines,Q4,ELE
EuroAtlantic Airways,YU,MMZ
Eurocommander,null,ERA
Eurocontrol CFMU Central Executive Unit,null,ZKC
Eurocontrol CFMU Database Operators,null,ZKD
Eurocontrol CFMU Technical Monitoring Team,null,ZKT
Eurocontrol CFMU Ifidu System,null,ZMF
Eurocontrol CFMU Str System,null,ZMS
Eurocontrol CFMU Tac System,null,ZMT
Eurocontrol,null,EUC
Eurocopter Deutschland,null,RDF
Eurofly Service,null,EEU
Eurojet Aviation,null,GOJ
Eurojet Service,null,UJS
Europ Star Aircraft,null,ESQ
Air Europa Express,X5,OVA
Air Europa,UX,AEA
Europe Air Lines,null,GED
European Aircraft Private Club (EAPC),null,PGC
European Business Jets,null,EBJ
European Cargo Services,EJ*,null
European Cargo,SE,URO
European Air Charter,H6,BUC
European Flyers,null,FYS
European SAO,null,EKT
European Aviation School of Barcelona,null,EAX
European Air Transport,QY,BCS
Europilot Center,null,EPC
Europlane,null,EPN
Eurostar International,9F,null
Eurowings Discover,4Y,OCN
Eurowings Europe,E2,EWE
Eurowings Europe,null,EWL
Eurowings,EW,EWG
Eurus Aviation,null,EUS
EVA Airways,BR,EVA
"Air-Evan's, Escuela de Pilotos Privados",null,VAE
Everett Aviation,null,EVK
Everett Aviation,null,EVQ
Everjets,null,EVJ
Everts Air,5V,VTS
Evolem Aviation,null,EVL
EWA Air,ZD,EWR
Ewest Air,null,EWA
Examiner Training Agency,null,EMN
Excel Charter,null,XEL
Excel Air Services,null,EXI
Air Excel,null,XLL
Excelair,null,VDC
ExcelAire,null,XLS
Excellent Air,null,ECA
Air Exchange,null,EXG
Exclusive Aviation,null,REE
Excutive Aviation Services,null,VYR
Execaire,null,EXA
Execuflight,null,EFT
ExecuJet,null,EXD
Execujet Middle East,null,EJO
Execujet Scandinavia,null,VMP
Executive Aero Space,null,EAS
Executive Aircraft Charter And Charter Services,null,ECS
Executive Aircraft Services,null,ESM
Executive Airlink,null,ENK
Executive Air Charter,null,EAC
Executive Express Aviation,null,EEX
Executive Airlines,null,EXU
Executive Air Fleet,null,XAF
Executive Flight,null,EXE
"Executive Flight Operations, Ontario Government",null,TRI
Executive Flight Services,null,XSR
Executive Fliteways,null,XFL
Executive Helicopters,null,EXH
Executive Jet Management,null,EJM
Executive Jet Service,null,EJZ
Executive Jet Charter,null,EXJ
Executive Air,null,LFL
Executive Air Services,null,BLE
Executive Aviation Serviecs,null,JTR
Executive Aviation Corporation,null,SIY
Executive Travel Air,null,KNZ
Exin,null,EXN
Expedition Golden Eagle,null,EGE
Expedition Airways,null,XPD
Exploits Valley Air Services,8K*,null
Air Express,null,AXD
Express Air Cargo,7A,XRC
Express International Cargo,null,EIC
Express Cargo Airlines,null,null
Air Express,null,DAD
Express Airways,null,EPR
Express Freighters Australia,QE,EFA
Express.Net Airlines,null,XNA
Express Tours,null,XTO
Exxaero,null,XRO
EZ Air,7Z,null
Ezjet,null,EZJ
Eznis Airways,MG,EZA
Ezy Airlines,null,EZT
F A Naval Del Peru,null,INP
F Air,null,FAP
FAA - WJH Technical Center Air Shuttle Program,null,NLE
FAI Rent-a-Jet,null,IFA
Fair Aviation,null,FAV
Fair Wind Air Charter,null,FWD
Fair Aviation,null,null
Fairoaks Flight Centre,null,FFC
Fairways,null,FWY
Air Falcon,null,AVG
Falcon Air,null,FAI
Falcon Airline,null,FAU
Air Falcon,FS*,FPK
Falcon Jet Centre,null,FJC
Falcon Royal Air,null,VFA
Falcon Aviation Services,null,FVS
Falwell Aviation,null,FAW
Fan Airways,null,FGH
Fanjet Express,null,FJE
FarCargo,null,null
Farelogix,F1,null
Farmingdale State University,null,FDL
Farnair Europe,null,FNE
Farnas Aviation Services,null,RAF
Fast Air,null,PBR
Fastjet Zambia,null,FJB
fastjet Zimbabwe,FN,FJW
Faucett,null,CFP
Fayban Air Services,null,FAY
Fayetteville Flying Service And Scheduled Skyways System,null,SKM
FCG - Flight Consulting Group,null,FCG
FCS Flight Calibration Serivces,null,FCK
FDS-Ops,null,FDP
Federal Airlines,7V,FDR
Federal Aviation Administration,null,AYA
"Federal Armed Forces, Federal Republic of Germany",null,DCN
Federal Armored Service,null,FRM
Federal Airlines,null,FLL
Federal Office of Civil Aviation FOCA,null,FOC
Federal Service of the National Guard Troops of The Russian Federation,null,RIF
Federal State Budgetary Organization Gagarin Research & Test Cosmonaut Training Center,null,CPK
International Federation of Red Cross And Red Crescent Societies (IFRC),null,RXC
FedEx,FX,FDX
Feeder Airlines,null,FDD
Felix Airways,null,FXX
Fenix Air Charter,null,FNX
Feria Aviacion,null,FER
Feuerwehriensatz,null,FFD
"FFH SUEDWESTDEUTSCHE VERKEHRSFLIEGERSCHULE, FREIBURG",null,HRE
FFL Fachschule Fuer Luft-Fahrzeugfuehrer,null,FFE
Field Group Aviation,null,LED
Fiji Airways,FJ,FJI
Fiji Link,null,FJA
Fika Salaama Airlines,null,HGK
Financial Airxpress,null,FAK
Finesse Executive,null,FNS
Finist'air,null,FTR
Finlight Airline,null,FNT
Finlight Airline,null,PNT
Finnair,AY,FIN
FinnHEMS,null,FIH
Finnish Border Guard,null,FNG
Finnish Air Force,null,FNF
Fireblade Aviation,null,OPM
Firehawk Helicopters,null,HWK
Firnas Airways,null,null
First City Air,null,MBL
First Flying Squadron,null,GGA
First Nation Airways,null,FRN
First Sabre,null,FTS
First Wing Aircraft Charter and Maintenance,null,EGC
FITS Aviation,8D,EXV
Five Forty Uganda,null,FUL
Five Fourty Aviation,5H*,FFV
FJR Private Flight,null,FPF
FL140 Parachutisme Bordeaux,null,FLP
Flagship Express Services,null,FSX
Flair Airlines,F8,FLE
Air Flamenco,F4,null
Flamingo Air,null,FMR
Flamingo Air-Line,null,FLN
Fleet Air BG,null,FBG
Fleet Air International,null,FRF
Fleet Requirements Air Direction Unit,null,BWY
Fleetair,null,FLR
Flex Air Flight School,null,null
Flex Linhas Aéreas,null,FFX
Flexflight,null,TIX
Flexflight,W2,FXT
Flexjet,null,LXJ
Flexjet Operations Malta,null,FJO
Flexjet Operations,null,FLJ
Flight Calibration Services,null,VOR
Flight Centre Victoria,null,FCV
Flight Choice,null,FCE
Flight Deck Support,null,FDZ
Flight Development,null,BAD
Flight Express,null,FLX
Flight Fast Track,null,FTT
Flight,null,FCP
Flight,null,FLV
Flight Information Data Base,null,ZEZ
Flight Information Centre,null,ZIZ
Flight Inspection Center of the General Administration of Civil Aviation of China,null,CFI
Flight International,null,IVJ
Flight Line,null,ACT
Flight Line,null,MIT
Flight Ops International,null,FOI
Flight options,null,OPT
Flight Plan Solutions,null,FSN
"Flight Plan Processing Center of ATMB, CAAC.",null,ZFP
Flight Pro International,null,FPC
International Flight Resources,null,IFR
Flight Safety,null,FSL
Flight Support,null,FST
Flight Trac,null,CCK
International Flight Training Academy,null,IFX
Flightaware,null,FWR
Flightcraft,null,CSK
FlightExec,null,FEX
Flightline,null,FTL
Flightlink,YS,FLZ
Flightworks,null,FWK
Flightworks,null,KDZ
Flint Aviation Services,null,FAZ
Flite,null,FLA
Fliteport,null,FOW
Florida Air Cargo,null,FAS
Florida Dept Of Agriculture,null,FFS
Florida Flyers Flight Academy,null,FFY
Florida Jet Service,null,FJS
Florida Air,null,OJY
Florida Air Transport,null,FBN
Flowair Aviation,null,FLW
Fltplan,null,DCM
Flugschule Basel,null,FLU
Flugschule Eichenberger,null,EZB
FLY 4,null,FFA
Fly Adjara,null,NOD
"FLY ADVANCE (BLUE BELL, PA)",null,VNX
Fly Aeolus,null,null
Fly Air41 Airways,null,BER
Fly AllWays,8W,EDR
Fly Aman,null,FAJ
Fly AO Angola,EQ,FLA
Fly Armenia Airways,VF,FBB
FLY ARNA,G6,ACY
Fly Away,null,BFX
Fly Baghdad,IF,FBA
Fly Bai,null,FBY
Fly Benghazi,null,FBL
Fly-Coop,null,FCA
Fly Dushanbe Airlines,null,FDU
Fly Company,null,FCY
Fly & Fun,null,FFN
Fly-GH,null,null
Fly Haya,null,HAY
Fly Jet.kz,null,FJK
Fly Jinnah,9P,FJL
Fly Jordan,null,FJR
Fly Khiva,D3*,KFH
Fly Kumba,null,FKZ
Fly Lili,FL,LIL
Fly Line,null,FIL
Fly Marche,null,null
Fly Me,null,ANW
Fly Me,null,OFS
Fly Mid Africa,null,MFG
Fly Modern Ark,null,null
Fly International Airways,null,NVJ
Fly One Airlines,OE,FOE
FLY OYA,YI,OYA
Fly Play,OG,FPY
Fly Pro,FP*,PVV
Fly RAK,null,FRB
Fly Sky Airlines,null,FSQ
Fly Sky Airlines,null,FSU
Fly Skyjet,null,SJF
Fly Tyrol,null,FTY
Fly Union,null,FCH
fly wales,null,PYN
Fly Yemen Airlines,null,FYO
Fly2Sky,F6,VAW
FLY7,null,FSF
Fly91,IC,GOA
flyadeal,F3,FAD
Flyafrica Zimbabwe,null,FZW
Flyair,null,PRA
FlyArystan,null,AYN
FlyArystan,null,null
Flyawesome,null,MDW
flyBAIR,null,null
FlyBig,S9,FLG
Flybondi,FO,FBZ
FlyBosnia,6W,FBS
Flycom,null,FLO
flydubai,FZ,FDB
flyegypt,FT,FEG
FlyErbil,null,null
flyExclusive,null,JRE
FlyExec,null,FEL
FlyFast,null,FMX
FlyFirefly,FY,FFM
Flyfofo Airways,null,FOF
flyGAC,null,GCW
Flygprestanda,null,FPA
flyGR8,null,ELF
flyGTA,SX,TOR
Flygtransporter Nykoping,null,EYS
Airways Flygutbildning AB,null,ATO
Airways Flygutbildning Svenska,null,null
Flyindo Aviasi Nusantara,null,FYN
Flying Business Aviation,null,FBX
Flying Devil,null,FYD
Flying Fast,null,FLS
Flying Hope,null,FHG
Flying Lamm,null,FLM
Flying Group Luxembourg,null,FYL
Flying-Research Aerogeophysical Center Ltd.,null,FGP
Flying Service,null,FYG
Flying Technology Airline Limited,null,FTG
Flyjet Air Charter & Management,null,FYJ
flyKHY,null,null
FlyLink Express,null,FLK
FlyLux Airlines,null,null
flyme,VP,VQI
FlyMex,null,NTG
FlyMontserrat,5M,MNT
FlyNamibia,WV,FLN
flynas,XY,KNE
FlyOne,5F,FIA
FLYONE Armenia,3F,FIE
FlyPelican,FP,null
flyPersia,null,FPI
flyRICH,null,LOX
Flyteam Aviation,null,FTM
flyValan,null,null
Flyverhjemmevaernet,null,FHV
FlyVolare,null,null
Flyways,null,FYW
Flyyo,4D*,DIR
FMG Verkehrsfliegerschule Flughafen,null,FMG
FNA,null,FNB
Fokker Flight Operations,null,FOP
Fonnafly,null,NOF
